ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown
0.0001,0.8,45,10444,41.842206051321334,-0.12377103272010094,0.8996056752347715,1463.080557438121
0.0001,0.8,50,9746,41.7299404884055,-0.1353086872027896,0.8897625295569636,1499.5317331637418
0.0001,0.8,55,8443,41.14651190335189,-0.16605261667604593,0.86573596786457,1564.596462301653
0.0001,0.8,60,6713,41.218531208103684,-0.16549770541268216,0.8628845828652534,1242.5362509621234
0.0001,1.0,45,10444,41.842206051321334,-0.12377103272010094,0.8996056752347715,1463.080557438121
0.0001,1.0,50,9746,41.7299404884055,-0.1353086872027896,0.8897625295569636,1499.5317331637418
0.0001,1.0,55,8443,41.14651190335189,-0.16605261667604593,0.86573596786457,1564.596462301653
0.0001,1.0,60,6713,41.218531208103684,-0.16549770541268216,0.8628845828652534,1242.5362509621234
0.0001,1.2,45,10444,41.842206051321334,-0.12377103272010094,0.8996056752347715,1463.080557438121
0.0001,1.2,50,9746,41.7299404884055,-0.1353086872027896,0.8897625295569636,1499.5317331637418
0.0001,1.2,55,8443,41.14651190335189,-0.16605261667604593,0.86573596786457,1564.596462301653
0.0001,1.2,60,6713,41.218531208103684,-0.16549770541268216,0.8628845828652534,1242.5362509621234
0.0001,1.4,45,8181,41.254125412541256,-0.14586544234135024,0.8836711027745162,1324.5351301813257
0.0001,1.4,50,7660,41.13577023498694,-0.15443650687718402,0.8760680999048345,1331.6635113757666
0.0001,1.4,55,6726,40.60362771335117,-0.18758319617513614,0.8503258135359515,1389.2414915767206
0.0001,1.4,60,5375,40.669767441860465,-0.20139377182545726,0.8370691394890798,1192.152547859762
0.0002,0.8,45,8951,41.43671098201318,-0.1442087617377946,0.8803551003699033,1431.3068722604044
0.0002,0.8,50,8418,41.37562366357805,-0.1466296173817326,0.8775743542538548,1384.9913308045252
0.0002,0.8,55,7405,40.94530722484808,-0.17338598999203425,0.8563006558806304,1445.6258292342648
0.0002,0.8,60,6018,40.94383516118312,-0.1636817252308651,0.8610805702986745,1090.381738457283
0.0002,1.0,45,8951,41.43671098201318,-0.1442087617377946,0.8803551003699033,1431.3068722604044
0.0002,1.0,50,8418,41.37562366357805,-0.1466296173817326,0.8775743542538548,1384.9913308045252
0.0002,1.0,55,7405,40.94530722484808,-0.17338598999203425,0.8563006558806304,1445.6258292342648
0.0002,1.0,60,6018,40.94383516118312,-0.1636817252308651,0.8610805702986745,1090.381738457283
0.0002,1.2,45,8951,41.43671098201318,-0.1442087617377946,0.8803551003699033,1431.3068722604044
0.0002,1.2,50,8418,41.37562366357805,-0.1466296173817326,0.8775743542538548,1384.9913308045252
0.0002,1.2,55,7405,40.94530722484808,-0.17338598999203425,0.8563006558806304,1445.6258292342648
0.0002,1.2,60,6018,40.94383516118312,-0.1636817252308651,0.8610805702986745,1090.381738457283
0.0002,1.4,45,7083,40.98545813920655,-0.17878190579756723,0.855103388049688,1360.012440179661
0.0002,1.4,50,6688,40.92404306220095,-0.181995688266176,0.8514742894603081,1328.3572868494787
0.0002,1.4,55,5968,40.5328418230563,-0.2045347185219696,0.8336821376992095,1324.0530744015234
0.0002,1.4,60,4878,40.56990569905699,-0.203095123738105,0.8319842142454273,1072.7312672817545
0.0003,0.8,45,7689,41.3447782546495,-0.15463607559409973,0.8686783453572777,1303.9691778952772
0.0003,0.8,50,7311,41.29394063739571,-0.15814511426111638,0.8652689428091197,1284.8390274422572
0.0003,0.8,55,6522,40.907697025452315,-0.17708525739257552,0.8507270532580603,1299.0737686400848
0.0003,0.8,60,5407,40.743480673201404,-0.18526151858137993,0.8415119079309881,1088.865571279661
0.0003,1.0,45,7689,41.3447782546495,-0.15463607559409973,0.8686783453572777,1303.9691778952772
0.0003,1.0,50,7311,41.29394063739571,-0.15814511426111638,0.8652689428091197,1284.8390274422572
0.0003,1.0,55,6522,40.907697025452315,-0.17708525739257552,0.8507270532580603,1299.0737686400848
0.0003,1.0,60,5407,40.743480673201404,-0.18526151858137993,0.8415119079309881,1088.865571279661
0.0003,1.2,45,7689,41.3447782546495,-0.15463607559409973,0.8686783453572777,1303.9691778952772
0.0003,1.2,50,7311,41.29394063739571,-0.15814511426111638,0.8652689428091197,1284.8390274422572
0.0003,1.2,55,6522,40.907697025452315,-0.17708525739257552,0.8507270532580603,1299.0737686400848
