ema_distance_threshold,volume_ratio_threshold,rsi_threshold,total_candidates,after_ema_filter,after_volume_filter,after_rsi_filter,final_trades
0.0001,0.8,45,29704,25293,25293,24187,24187
0.0001,0.8,50,29704,25293,25293,22463,22463
0.0001,0.8,55,29704,25293,25293,19440,19440
0.0001,0.8,60,29704,25293,25293,15381,15381
0.0001,1.0,45,29704,25293,25293,24187,24187
0.0001,1.0,50,29704,25293,25293,22463,22463
0.0001,1.0,55,29704,25293,25293,19440,19440
0.0001,1.0,60,29704,25293,25293,15381,15381
0.0001,1.2,45,29704,25293,25293,24187,24187
0.0001,1.2,50,29704,25293,25293,22463,22463
0.0001,1.2,55,29704,25293,25293,19440,19440
0.0001,1.2,60,29704,25293,25293,15381,15381
0.0001,1.4,45,29704,25293,19736,18961,18961
0.0001,1.4,50,29704,25293,19736,17672,17672
0.0001,1.4,55,29704,25293,19736,15427,15427
0.0001,1.4,60,29704,25293,19736,12308,12308
0.0002,0.8,45,29704,21279,21279,20474,20474
0.0002,0.8,50,29704,21279,21279,19178,19178
0.0002,0.8,55,29704,21279,21279,16868,16868
0.0002,0.8,60,29704,21279,21279,13632,13632
0.0002,1.0,45,29704,21279,21279,20474,20474
0.0002,1.0,50,29704,21279,21279,19178,19178
0.0002,1.0,55,29704,21279,21279,16868,16868
0.0002,1.0,60,29704,21279,21279,13632,13632
0.0002,1.2,45,29704,21279,21279,20474,20474
0.0002,1.2,50,29704,21279,21279,19178,19178
0.0002,1.2,55,29704,21279,21279,16868,16868
0.0002,1.2,60,29704,21279,21279,13632,13632
0.0002,1.4,45,29704,21279,16766,16201,16201
0.0002,1.4,50,29704,21279,16766,15232,15232
0.0002,1.4,55,29704,21279,16766,13537,13537
0.0002,1.4,60,29704,21279,16766,11037,11037
0.0003,0.8,45,29704,17893,17893,17331,17331
0.0003,0.8,50,29704,17893,17893,16412,16412
0.0003,0.8,55,29704,17893,17893,14659,14659
0.0003,0.8,60,29704,17893,17893,12107,12107
0.0003,1.0,45,29704,17893,17893,17331,17331
0.0003,1.0,50,29704,17893,17893,16412,16412
0.0003,1.0,55,29704,17893,17893,14659,14659
0.0003,1.0,60,29704,17893,17893,12107,12107
0.0003,1.2,45,29704,17893,17893,17331,17331
0.0003,1.2,50,29704,17893,17893,16412,16412
0.0003,1.2,55,29704,17893,17893,14659,14659
0.0003,1.2,60,29704,17893,17893,12107,12107
0.0003,1.4,45,29704,17893,14253,13862,13862
0.0003,1.4,50,29704,17893,14253,13173,13173
0.0003,1.4,55,29704,17893,14253,11883,11883
0.0003,1.4,60,29704,17893,14253,9892,9892
0.0004,0.8,45,29704,14968,14968,14593,14593
0.0004,0.8,50,29704,14968,14968,13925,13925
0.0004,0.8,55,29704,14968,14968,12584,12584
0.0004,0.8,60,29704,14968,14968,10612,10612
0.0004,1.0,45,29704,14968,14968,14593,14593
0.0004,1.0,50,29704,14968,14968,13925,13925
0.0004,1.0,55,29704,14968,14968,12584,12584
0.0004,1.0,60,29704,14968,14968,10612,10612
0.0004,1.2,45,29704,14968,14968,14593,14593
0.0004,1.2,50,29704,14968,14968,13925,13925
0.0004,1.2,55,29704,14968,14968,12584,12584
0.0004,1.2,60,29704,14968,14968,10612,10612
0.0004,1.4,45,29704,14968,12034,11768,11768
0.0004,1.4,50,29704,14968,12034,11264,11264
0.0004,1.4,55,29704,14968,12034,10267,10267
0.0004,1.4,60,29704,14968,12034,8715,8715
0.0005,0.8,45,29704,12665,12665,12415,12415
0.0005,0.8,50,29704,12665,12665,11908,11908
0.0005,0.8,55,29704,12665,12665,10904,10904
0.0005,0.8,60,29704,12665,12665,9332,9332
0.0005,1.0,45,29704,12665,12665,12415,12415
0.0005,1.0,50,29704,12665,12665,11908,11908
0.0005,1.0,55,29704,12665,12665,10904,10904
0.0005,1.0,60,29704,12665,12665,9332,9332
0.0005,1.2,45,29704,12665,12665,12415,12415
0.0005,1.2,50,29704,12665,12665,11908,11908
0.0005,1.2,55,29704,12665,12665,10904,10904
0.0005,1.2,60,29704,12665,12665,9332,9332
0.0005,1.4,45,29704,12665,10277,10102,10102
0.0005,1.4,50,29704,12665,10277,9716,9716
0.0005,1.4,55,29704,12665,10277,8970,8970
0.0005,1.4,60,29704,12665,10277,7730,7730
