ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown,scan_id
0.0001,0.8,45,878,45.558086560364465,0.25150032567390407,1.2138657225545417,129.3349029596312,3e1edc34
0.0001,0.8,50,828,46.13526570048309,0.2682934938476519,1.2267164184995165,131.3512189700187,3e1edc34
0.0001,0.8,55,738,44.579945799457995,0.2367817203784992,1.1948970602640976,142.32977771288031,3e1edc34
0.0001,0.8,60,601,44.09317803660566,0.227072613403009,1.1827865298427278,133.9030688881371,3e1edc34
0.0001,1.0,45,878,45.558086560364465,0.25150032567390407,1.2138657225545417,129.3349029596312,3e1edc34
0.0001,1.0,50,828,46.13526570048309,0.2682934938476519,1.2267164184995165,131.3512189700187,3e1edc34
0.0001,1.0,55,738,44.579945799457995,0.2367817203784992,1.1948970602640976,142.32977771288031,3e1edc34
0.0001,1.0,60,601,44.09317803660566,0.227072613403009,1.1827865298427278,133.9030688881371,3e1edc34
0.0001,1.2,45,878,45.558086560364465,0.25150032567390407,1.2138657225545417,129.3349029596312,3e1edc34
0.0001,1.2,50,828,46.13526570048309,0.2682934938476519,1.2267164184995165,131.3512189700187,3e1edc34
0.0001,1.2,55,738,44.579945799457995,0.2367817203784992,1.1948970602640976,142.32977771288031,3e1edc34
0.0001,1.2,60,601,44.09317803660566,0.227072613403009,1.1827865298427278,133.9030688881371,3e1edc34
0.0001,1.4,45,692,45.3757225433526,0.2577389403046913,1.2098292754116584,117.12444408917996,3e1edc34
0.0001,1.4,50,657,45.81430745814307,0.2654858905755137,1.2137718791793823,116.00187043436001,3e1edc34
0.0001,1.4,55,588,44.047619047619044,0.2145456473726087,1.166200732131345,114.53331554136,3e1edc34
0.0001,1.4,60,482,43.77593360995851,0.2682391720540478,1.2052768868323596,108.51635038032748,3e1edc34
0.0002,0.8,45,779,45.699614890885755,0.26102989875307797,1.2274961824389679,69.56766386654004,3e1edc34
0.0002,0.8,50,733,46.1118690313779,0.26775376004701196,1.2310132804016498,75.75932633460599,3e1edc34
0.0002,0.8,55,658,44.984802431610944,0.23813269081827693,1.2008276188958524,82.68324026872452,3e1edc34
0.0002,0.8,60,534,45.1310861423221,0.2772621347418093,1.2318349063738128,72.97308187832395,3e1edc34
0.0002,1.0,45,779,45.699614890885755,0.26102989875307797,1.2274961824389679,69.56766386654004,3e1edc34
0.0002,1.0,50,733,46.1118690313779,0.26775376004701196,1.2310132804016498,75.75932633460599,3e1edc34
0.0002,1.0,55,658,44.984802431610944,0.23813269081827693,1.2008276188958524,82.68324026872452,3e1edc34
0.0002,1.0,60,534,45.1310861423221,0.2772621347418093,1.2318349063738128,72.97308187832395,3e1edc34
0.0002,1.2,45,779,45.699614890885755,0.26102989875307797,1.2274961824389679,69.56766386654004,3e1edc34
0.0002,1.2,50,733,46.1118690313779,0.26775376004701196,1.2310132804016498,75.75932633460599,3e1edc34
0.0002,1.2,55,658,44.984802431610944,0.23813269081827693,1.2008276188958524,82.68324026872452,3e1edc34
0.0002,1.2,60,534,45.1310861423221,0.2772621347418093,1.2318349063738128,72.97308187832395,3e1edc34
0.0002,1.4,45,617,45.86709886547812,0.27868494588332365,1.2307458029100375,71.97478791240464,3e1edc34
0.0002,1.4,50,585,46.15384615384615,0.2783132473770724,1.2272897599597694,76.31276606884744,3e1edc34
0.0002,1.4,55,527,44.97153700189753,0.24989343525787808,1.1985998872892478,70.78956636710427,3e1edc34
0.0002,1.4,60,431,45.243619489559165,0.3232609329336062,1.256912412358393,63.609679913269865,3e1edc34
0.0003,0.8,45,666,45.94594594594595,0.31450595035823015,1.2891322772502782,43.034537795330635,3e1edc34
0.0003,0.8,50,630,46.34920634920635,0.3220572675985733,1.2926586953352093,45.15076265658422,3e1edc34
0.0003,0.8,55,570,45.614035087719294,0.2972074779069697,1.2648081260459663,44.80229215462282,3e1edc34
0.0003,0.8,60,473,46.30021141649049,0.3569581340008681,1.3178318160365612,57.40124955640397,3e1edc34
