model,feature,importance
logistic_regression,ema_distance,-0.000425
logistic_regression,volume_ratio,0.097677
logistic_regression,rsi,0.000426
logistic_regression,rsi_5m,0.000426
logistic_regression,momentum_ratio,-0.586952
logistic_regression,pullback_depth_pct,0.384995
logistic_regression,upper_wick_ratio,-0.062213
logistic_regression,lower_wick_ratio,0.652067
logistic_regression,ema50_slope,-6e-06
logistic_regression,breakout_confirmation,0.516239
random_forest,ema_distance,0.133504
random_forest,volume_ratio,0.138541
random_forest,rsi,0.105064
random_forest,rsi_5m,0.115801
random_forest,momentum_ratio,0.100275
random_forest,pullback_depth_pct,0.114478
random_forest,upper_wick_ratio,0.076875
random_forest,lower_wick_ratio,0.091587
random_forest,ema50_slope,0.107847
random_forest,breakout_confirmation,0.016027
gradient_boosting,ema_distance,0.136381
gradient_boosting,volume_ratio,0.168385
gradient_boosting,rsi,0.087631
gradient_boosting,rsi_5m,0.067811
gradient_boosting,momentum_ratio,0.094657
gradient_boosting,pullback_depth_pct,0.155353
gradient_boosting,upper_wick_ratio,0.066604
gradient_boosting,lower_wick_ratio,0.104987
gradient_boosting,ema50_slope,0.118131
gradient_boosting,breakout_confirmation,6.1e-05
