ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown
0.0001,0.8,45,0,0.0,0.0,0.0,0.0
0.0001,0.8,50,0,0.0,0.0,0.0,0.0
0.0001,0.8,55,0,0.0,0.0,0.0,0.0
0.0001,0.8,60,0,0.0,0.0,0.0,0.0
0.0001,1.0,45,0,0.0,0.0,0.0,0.0
0.0001,1.0,50,0,0.0,0.0,0.0,0.0
0.0001,1.0,55,0,0.0,0.0,0.0,0.0
0.0001,1.0,60,0,0.0,0.0,0.0,0.0
0.0001,1.2,45,0,0.0,0.0,0.0,0.0
0.0001,1.2,50,0,0.0,0.0,0.0,0.0
0.0001,1.2,55,0,0.0,0.0,0.0,0.0
0.0001,1.2,60,0,0.0,0.0,0.0,0.0
0.0001,1.4,45,0,0.0,0.0,0.0,0.0
0.0001,1.4,50,0,0.0,0.0,0.0,0.0
0.0001,1.4,55,0,0.0,0.0,0.0,0.0
0.0001,1.4,60,0,0.0,0.0,0.0,0.0
0.0002,0.8,45,0,0.0,0.0,0.0,0.0
0.0002,0.8,50,0,0.0,0.0,0.0,0.0
0.0002,0.8,55,0,0.0,0.0,0.0,0.0
0.0002,0.8,60,0,0.0,0.0,0.0,0.0
0.0002,1.0,45,0,0.0,0.0,0.0,0.0
0.0002,1.0,50,0,0.0,0.0,0.0,0.0
0.0002,1.0,55,0,0.0,0.0,0.0,0.0
0.0002,1.0,60,0,0.0,0.0,0.0,0.0
0.0002,1.2,45,0,0.0,0.0,0.0,0.0
0.0002,1.2,50,0,0.0,0.0,0.0,0.0
0.0002,1.2,55,0,0.0,0.0,0.0,0.0
0.0002,1.2,60,0,0.0,0.0,0.0,0.0
0.0002,1.4,45,0,0.0,0.0,0.0,0.0
0.0002,1.4,50,0,0.0,0.0,0.0,0.0
0.0002,1.4,55,0,0.0,0.0,0.0,0.0
0.0002,1.4,60,0,0.0,0.0,0.0,0.0
0.0003,0.8,45,0,0.0,0.0,0.0,0.0
0.0003,0.8,50,0,0.0,0.0,0.0,0.0
0.0003,0.8,55,0,0.0,0.0,0.0,0.0
0.0003,0.8,60,0,0.0,0.0,0.0,0.0
0.0003,1.0,45,0,0.0,0.0,0.0,0.0
0.0003,1.0,50,0,0.0,0.0,0.0,0.0
0.0003,1.0,55,0,0.0,0.0,0.0,0.0
0.0003,1.0,60,0,0.0,0.0,0.0,0.0
0.0003,1.2,45,0,0.0,0.0,0.0,0.0
0.0003,1.2,50,0,0.0,0.0,0.0,0.0
0.0003,1.2,55,0,0.0,0.0,0.0,0.0
0.0003,1.2,60,0,0.0,0.0,0.0,0.0
0.0003,1.4,45,0,0.0,0.0,0.0,0.0
0.0003,1.4,50,0,0.0,0.0,0.0,0.0
0.0003,1.4,55,0,0.0,0.0,0.0,0.0
0.0003,1.4,60,0,0.0,0.0,0.0,0.0
0.0004,0.8,45,0,0.0,0.0,0.0,0.0
0.0004,0.8,50,0,0.0,0.0,0.0,0.0
0.0004,0.8,55,0,0.0,0.0,0.0,0.0
0.0004,0.8,60,0,0.0,0.0,0.0,0.0
0.0004,1.0,45,0,0.0,0.0,0.0,0.0
0.0004,1.0,50,0,0.0,0.0,0.0,0.0
0.0004,1.0,55,0,0.0,0.0,0.0,0.0
0.0004,1.0,60,0,0.0,0.0,0.0,0.0
0.0004,1.2,45,0,0.0,0.0,0.0,0.0
0.0004,1.2,50,0,0.0,0.0,0.0,0.0
0.0004,1.2,55,0,0.0,0.0,0.0,0.0
0.0004,1.2,60,0,0.0,0.0,0.0,0.0
0.0004,1.4,45,0,0.0,0.0,0.0,0.0
0.0004,1.4,50,0,0.0,0.0,0.0,0.0
0.0004,1.4,55,0,0.0,0.0,0.0,0.0
0.0004,1.4,60,0,0.0,0.0,0.0,0.0
0.0005,0.8,45,0,0.0,0.0,0.0,0.0
0.0005,0.8,50,0,0.0,0.0,0.0,0.0
0.0005,0.8,55,0,0.0,0.0,0.0,0.0
0.0005,0.8,60,0,0.0,0.0,0.0,0.0
0.0005,1.0,45,0,0.0,0.0,0.0,0.0
0.0005,1.0,50,0,0.0,0.0,0.0,0.0
0.0005,1.0,55,0,0.0,0.0,0.0,0.0
0.0005,1.0,60,0,0.0,0.0,0.0,0.0
0.0005,1.2,45,0,0.0,0.0,0.0,0.0
0.0005,1.2,50,0,0.0,0.0,0.0,0.0
0.0005,1.2,55,0,0.0,0.0,0.0,0.0
0.0005,1.2,60,0,0.0,0.0,0.0,0.0
0.0005,1.4,45,0,0.0,0.0,0.0,0.0
0.0005,1.4,50,0,0.0,0.0,0.0,0.0
0.0005,1.4,55,0,0.0,0.0,0.0,0.0
0.0005,1.4,60,0,0.0,0.0,0.0,0.0
