ema_distance_threshold,volume_ratio_threshold,rsi_threshold,avg_future_r_5,avg_future_r_10,avg_future_r_20,avg_future_r_30,best_horizon,edge_decay_slope
0.0001,0.8,45,0.11816811569688623,-0.004308426789302092,-0.09753586510693242,-0.1883962755399038,5,-0.012262575649471601
0.0001,0.8,50,0.15544300283809198,0.02198343328304629,-0.13470795723647153,-0.17779747477994565,5,-0.013329619104721507
0.0001,0.8,55,0.13328321023062928,0.0051414006997072235,-0.12932337163394342,-0.14945471466575808,5,-0.011309516995855496
0.0001,0.8,60,0.12774189043769488,-0.09815545374139649,-0.1456295620417182,-0.19011870965108738,5,-0.01271442400355129
0.0001,1.0,45,0.11816811569688623,-0.004308426789302092,-0.09753586510693242,-0.1883962755399038,5,-0.012262575649471601
0.0001,1.0,50,0.15544300283809198,0.02198343328304629,-0.13470795723647153,-0.17779747477994565,5,-0.013329619104721507
0.0001,1.0,55,0.13328321023062928,0.0051414006997072235,-0.12932337163394342,-0.14945471466575808,5,-0.011309516995855496
0.0001,1.0,60,0.12774189043769488,-0.09815545374139649,-0.1456295620417182,-0.19011870965108738,5,-0.01271442400355129
0.0001,1.2,45,0.11816811569688623,-0.004308426789302092,-0.09753586510693242,-0.1883962755399038,5,-0.012262575649471601
0.0001,1.2,50,0.15544300283809198,0.02198343328304629,-0.13470795723647153,-0.17779747477994565,5,-0.013329619104721507
0.0001,1.2,55,0.13328321023062928,0.0051414006997072235,-0.12932337163394342,-0.14945471466575808,5,-0.011309516995855496
0.0001,1.2,60,0.12774189043769488,-0.09815545374139649,-0.1456295620417182,-0.19011870965108738,5,-0.01271442400355129
0.0001,1.4,45,0.20483553289038278,0.07123745442709224,-0.04262374181790901,-0.09053644457328912,5,-0.011814879098546876
0.0001,1.4,50,0.22792198985865822,0.08017525134546508,-0.08434418568702103,-0.08054756471865154,5,-0.01233878218309239
0.0001,1.4,55,0.21529960169234186,0.055027712069233674,-0.059916832847643584,-0.04602468457685436,5,-0.01045297145076785
0.0001,1.4,60,0.24306391625747928,0.007336417524786753,-0.04602297474296668,-0.05852452755556104,5,-0.012063537752521614
0.0002,0.8,45,0.1109074988085754,-0.0033802424080655947,-0.04358860419682279,-0.1309671258848649,5,-0.009674984987737612
0.0002,0.8,50,0.14578367841079,0.01954941870489804,-0.06706814328181684,-0.12496349944232249,5,-0.010829887114124501
0.0002,0.8,55,0.106988925374824,-0.01020027242996493,-0.07618608213623031,-0.09795394302548462,5,-0.008197714736012345
0.0002,0.8,60,0.10415795891319458,-0.1012769847795819,-0.11045704851473953,-0.16708376530743796,5,-0.010849668968825301
0.0002,1.0,45,0.1109074988085754,-0.0033802424080655947,-0.04358860419682279,-0.1309671258848649,5,-0.009674984987737612
0.0002,1.0,50,0.14578367841079,0.01954941870489804,-0.06706814328181684,-0.12496349944232249,5,-0.010829887114124501
0.0002,1.0,55,0.106988925374824,-0.01020027242996493,-0.07618608213623031,-0.09795394302548462,5,-0.008197714736012345
0.0002,1.0,60,0.10415795891319458,-0.1012769847795819,-0.11045704851473953,-0.16708376530743796,5,-0.010849668968825301
0.0002,1.2,45,0.1109074988085754,-0.0033802424080655947,-0.04358860419682279,-0.1309671258848649,5,-0.009674984987737612
0.0002,1.2,50,0.14578367841079,0.01954941870489804,-0.06706814328181684,-0.12496349944232249,5,-0.010829887114124501
0.0002,1.2,55,0.106988925374824,-0.01020027242996493,-0.07618608213623031,-0.09795394302548462,5,-0.008197714736012345
0.0002,1.2,60,0.10415795891319458,-0.1012769847795819,-0.11045704851473953,-0.16708376530743796,5,-0.010849668968825301
0.0002,1.4,45,0.2232752800054277,0.08778845950079302,0.037302182984442864,-0.011970282625047315,5,-0.009409822505219
0.0002,1.4,50,0.23771546366674634,0.09137324255383604,0.0011534003317716815,-0.01232683333611355,5,-0.010001691880114396
0.0002,1.4,55,0.20600709502516187,0.04360923599277869,-0.009136596623794492,0.002001781881886571,5,-0.008160212525731013
0.0002,1.4,60,0.22065993772370884,-0.012066106902285005,-0.023906528431344363,-0.04920819233818523,5,-0.010794725202475763
0.0003,0.8,45,0.05373834207365051,-0.02957228296477802,-0.08756448889010975,-0.13609366479015783,5,-0.007593280274552334
0.0003,0.8,50,0.07020413500471298,-0.017248927775821037,-0.11831016509726512,-0.14486113503183756,5,-0.008602610801462022
0.0003,0.8,55,0.0763508109133062,0.023778115856502392,-0.026690037503795904,-0.01178219008221578,5,-0.0035253200398208794
0.0003,0.8,60,0.0872030906066003,-0.0693050623973335,-0.07460349521973207,-0.1150419845946763,5,-0.008089803008051065
0.0003,1.0,45,0.05373834207365051,-0.02957228296477802,-0.08756448889010975,-0.13609366479015783,5,-0.007593280274552334
0.0003,1.0,50,0.07020413500471298,-0.017248927775821037,-0.11831016509726512,-0.14486113503183756,5,-0.008602610801462022
0.0003,1.0,55,0.0763508109133062,0.023778115856502392,-0.026690037503795904,-0.01178219008221578,5,-0.0035253200398208794
0.0003,1.0,60,0.0872030906066003,-0.0693050623973335,-0.07460349521973207,-0.1150419845946763,5,-0.008089803008051065
0.0003,1.2,45,0.05373834207365051,-0.02957228296477802,-0.08756448889010975,-0.13609366479015783,5,-0.007593280274552334
0.0003,1.2,50,0.07020413500471298,-0.017248927775821037,-0.11831016509726512,-0.14486113503183756,5,-0.008602610801462022
0.0003,1.2,55,0.0763508109133062,0.023778115856502392,-0.026690037503795904,-0.01178219008221578,5,-0.0035253200398208794
0.0003,1.2,60,0.0872030906066003,-0.0693050623973335,-0.07460349521973207,-0.1150419845946763,5,-0.008089803008051065
0.0003,1.4,45,0.15952283120569824,0.05438632984587971,-0.06632505408632772,-0.0582820792528167,5,-0.008712196418340597
0.0003,1.4,50,0.1450032191718909,0.03814685500289357,-0.1206223368094064,-0.088844467445518,5,-0.009353907464696356
0.0003,1.4,55,0.1800350878352112,0.07853557262074605,-0.020942583265993686,0.042700233349611226,5,-0.005493394179423999
0.0003,1.4,60,0.18600204267930437,0.02679234328482584,-0.038538640883996604,-0.019103399805343105,5,-0.008204217699385898
0.0004,0.8,45,0.09885973838572844,-0.042783730608710414,-0.13143921053696012,-0.22814357504199978,5,-0.013080132537109128
0.0004,0.8,50,0.10807840585584153,-0.032293042976256424,-0.1549263789457,-0.22666382652761388,5,-0.013389689295338215
0.0004,0.8,55,0.1294994895476427,0.029773784085669577,-0.10082503827058084,-0.17259118584075958,5,-0.012083627015536091
0.0004,0.8,60,0.17966842818210157,-0.03478803577493919,-0.13422420967190363,-0.24463895834439067,5,-0.01697229546105969
0.0004,1.0,45,0.09885973838572844,-0.042783730608710414,-0.13143921053696012,-0.22814357504199978,5,-0.013080132537109128
0.0004,1.0,50,0.10807840585584153,-0.032293042976256424,-0.1549263789457,-0.22666382652761388,5,-0.013389689295338215
0.0004,1.0,55,0.1294994895476427,0.029773784085669577,-0.10082503827058084,-0.17259118584075958,5,-0.012083627015536091
0.0004,1.0,60,0.17966842818210157,-0.03478803577493919,-0.13422420967190363,-0.24463895834439067,5,-0.01697229546105969
0.0004,1.2,45,0.09885973838572844,-0.042783730608710414,-0.13143921053696012,-0.22814357504199978,5,-0.013080132537109128
0.0004,1.2,50,0.10807840585584153,-0.032293042976256424,-0.1549263789457,-0.22666382652761388,5,-0.013389689295338215
0.0004,1.2,55,0.1294994895476427,0.029773784085669577,-0.10082503827058084,-0.17259118584075958,5,-0.012083627015536091
0.0004,1.2,60,0.17966842818210157,-0.03478803577493919,-0.13422420967190363,-0.24463895834439067,5,-0.01697229546105969
0.0004,1.4,45,0.19125878538073424,-0.017818030071211653,-0.054127975667955616,-0.11131163385410812,5,-0.012102816769393693
0.0004,1.4,50,0.16015665349992061,-0.0396165933803252,-0.09187527260443142,-0.12883117044315537,5,-0.011559512957723039
0.0004,1.4,55,0.1910255295555707,0.02508586594926769,-0.019055746200478285,-0.06622246820812076,5,-0.010289919910547658
0.0004,1.4,60,0.22578555862594468,0.007405054918858746,-0.011601587523714218,-0.07555737380121555,5,-0.01205371729708641
0.0005,0.8,45,0.06470042875340004,-0.12129891587085878,-0.19765994860522015,-0.12479646072672054,5,-0.007579875579204824
0.0005,0.8,50,0.09240914483194014,-0.111122336582096,-0.22559495895694653,-0.11154200190039937,5,-0.008158045869293579
0.0005,0.8,55,0.08700124353983436,-0.0774248727162201,-0.21828002340500116,-0.02786516400954619,5,-0.0045946563019752225
0.0005,0.8,60,0.1630609912755568,-0.03326486798791956,-0.1924917980224179,-0.09335648119865228,5,-0.010256698898968363
0.0005,1.0,45,0.06470042875340004,-0.12129891587085878,-0.19765994860522015,-0.12479646072672054,5,-0.007579875579204824
0.0005,1.0,50,0.09240914483194014,-0.111122336582096,-0.22559495895694653,-0.11154200190039937,5,-0.008158045869293579
0.0005,1.0,55,0.08700124353983436,-0.0774248727162201,-0.21828002340500116,-0.02786516400954619,5,-0.0045946563019752225
0.0005,1.0,60,0.1630609912755568,-0.03326486798791956,-0.1924917980224179,-0.09335648119865228,5,-0.010256698898968363
0.0005,1.2,45,0.06470042875340004,-0.12129891587085878,-0.19765994860522015,-0.12479646072672054,5,-0.007579875579204824
0.0005,1.2,50,0.09240914483194014,-0.111122336582096,-0.22559495895694653,-0.11154200190039937,5,-0.008158045869293579
0.0005,1.2,55,0.08700124353983436,-0.0774248727162201,-0.21828002340500116,-0.02786516400954619,5,-0.0045946563019752225
0.0005,1.2,60,0.1630609912755568,-0.03326486798791956,-0.1924917980224179,-0.09335648119865228,5,-0.010256698898968363
0.0005,1.4,45,0.21191746435485034,-0.020852113427440828,-0.0748972033019166,0.103429767608118,5,-0.004339507869869293
