momentum_ratio_threshold,pullback_depth_min,pullback_depth_max,upper_wick_ratio_max,lower_wick_ratio_max,breakout_confirmation_required,total_candidates,after_momentum_filter,after_pullback_filter,after_wick_filter,after_breakout_filter,final_trades
0.9,,,,,False,633,61,61,61,61,61
0.9,,,,,True,633,61,61,42,42,42
0.9,,,,0.5,False,633,61,61,61,61,61
0.9,,,,0.5,True,633,61,61,42,42,42
0.9,,,,0.6,False,633,61,61,61,61,61
0.9,,,,0.6,True,633,61,61,42,42,42
0.9,,,,0.7,False,633,61,61,61,61,61
0.9,,,,0.7,True,633,61,61,42,42,42
0.9,,,0.2,,False,633,61,61,61,61,61
0.9,,,0.2,,True,633,61,61,42,42,42
0.9,,,0.2,0.5,False,633,61,61,61,61,61
0.9,,,0.2,0.5,True,633,61,61,42,42,42
0.9,,,0.2,0.6,False,633,61,61,61,61,61
0.9,,,0.2,0.6,True,633,61,61,42,42,42
0.9,,,0.2,0.7,False,633,61,61,61,61,61
0.9,,,0.2,0.7,True,633,61,61,42,42,42
0.9,,,0.3,,False,633,61,61,61,61,61
0.9,,,0.3,,True,633,61,61,42,42,42
0.9,,,0.3,0.5,False,633,61,61,61,61,61
0.9,,,0.3,0.5,True,633,61,61,42,42,42
0.9,,,0.3,0.6,False,633,61,61,61,61,61
0.9,,,0.3,0.6,True,633,61,61,42,42,42
0.9,,,0.3,0.7,False,633,61,61,61,61,61
0.9,,,0.3,0.7,True,633,61,61,42,42,42
0.9,,,0.4,,False,633,61,61,61,61,61
0.9,,,0.4,,True,633,61,61,42,42,42
0.9,,,0.4,0.5,False,633,61,61,61,61,61
0.9,,,0.4,0.5,True,633,61,61,42,42,42
0.9,,,0.4,0.6,False,633,61,61,61,61,61
0.9,,,0.4,0.6,True,633,61,61,42,42,42
0.9,,,0.4,0.7,False,633,61,61,61,61,61
0.9,,,0.4,0.7,True,633,61,61,42,42,42
0.9,-3.0,,,,False,633,61,60,60,60,60
0.9,-3.0,,,,True,633,61,60,41,41,41
0.9,-3.0,,,0.5,False,633,61,60,60,60,60
0.9,-3.0,,,0.5,True,633,61,60,41,41,41
0.9,-3.0,,,0.6,False,633,61,60,60,60,60
0.9,-3.0,,,0.6,True,633,61,60,41,41,41
0.9,-3.0,,,0.7,False,633,61,60,60,60,60
0.9,-3.0,,,0.7,True,633,61,60,41,41,41
0.9,-3.0,,0.2,,False,633,61,60,60,60,60
0.9,-3.0,,0.2,,True,633,61,60,41,41,41
0.9,-3.0,,0.2,0.5,False,633,61,60,60,60,60
0.9,-3.0,,0.2,0.5,True,633,61,60,41,41,41
0.9,-3.0,,0.2,0.6,False,633,61,60,60,60,60
0.9,-3.0,,0.2,0.6,True,633,61,60,41,41,41
0.9,-3.0,,0.2,0.7,False,633,61,60,60,60,60
0.9,-3.0,,0.2,0.7,True,633,61,60,41,41,41
0.9,-3.0,,0.3,,False,633,61,60,60,60,60
0.9,-3.0,,0.3,,True,633,61,60,41,41,41
0.9,-3.0,,0.3,0.5,False,633,61,60,60,60,60
0.9,-3.0,,0.3,0.5,True,633,61,60,41,41,41
0.9,-3.0,,0.3,0.6,False,633,61,60,60,60,60
0.9,-3.0,,0.3,0.6,True,633,61,60,41,41,41
0.9,-3.0,,0.3,0.7,False,633,61,60,60,60,60
0.9,-3.0,,0.3,0.7,True,633,61,60,41,41,41
0.9,-3.0,,0.4,,False,633,61,60,60,60,60
0.9,-3.0,,0.4,,True,633,61,60,41,41,41
0.9,-3.0,,0.4,0.5,False,633,61,60,60,60,60
0.9,-3.0,,0.4,0.5,True,633,61,60,41,41,41
0.9,-3.0,,0.4,0.6,False,633,61,60,60,60,60
0.9,-3.0,,0.4,0.6,True,633,61,60,41,41,41
0.9,-3.0,,0.4,0.7,False,633,61,60,60,60,60
0.9,-3.0,,0.4,0.7,True,633,61,60,41,41,41
0.9,-2.5,,,,False,633,61,60,60,60,60
0.9,-2.5,,,,True,633,61,60,41,41,41
0.9,-2.5,,,0.5,False,633,61,60,60,60,60
0.9,-2.5,,,0.5,True,633,61,60,41,41,41
0.9,-2.5,,,0.6,False,633,61,60,60,60,60
0.9,-2.5,,,0.6,True,633,61,60,41,41,41
0.9,-2.5,,,0.7,False,633,61,60,60,60,60
0.9,-2.5,,,0.7,True,633,61,60,41,41,41
0.9,-2.5,,0.2,,False,633,61,60,60,60,60
0.9,-2.5,,0.2,,True,633,61,60,41,41,41
0.9,-2.5,,0.2,0.5,False,633,61,60,60,60,60
0.9,-2.5,,0.2,0.5,True,633,61,60,41,41,41
0.9,-2.5,,0.2,0.6,False,633,61,60,60,60,60
0.9,-2.5,,0.2,0.6,True,633,61,60,41,41,41
0.9,-2.5,,0.2,0.7,False,633,61,60,60,60,60
0.9,-2.5,,0.2,0.7,True,633,61,60,41,41,41
0.9,-2.5,,0.3,,False,633,61,60,60,60,60
0.9,-2.5,,0.3,,True,633,61,60,41,41,41
0.9,-2.5,,0.3,0.5,False,633,61,60,60,60,60
0.9,-2.5,,0.3,0.5,True,633,61,60,41,41,41
0.9,-2.5,,0.3,0.6,False,633,61,60,60,60,60
0.9,-2.5,,0.3,0.6,True,633,61,60,41,41,41
0.9,-2.5,,0.3,0.7,False,633,61,60,60,60,60
0.9,-2.5,,0.3,0.7,True,633,61,60,41,41,41
0.9,-2.5,,0.4,,False,633,61,60,60,60,60
0.9,-2.5,,0.4,,True,633,61,60,41,41,41
0.9,-2.5,,0.4,0.5,False,633,61,60,60,60,60
0.9,-2.5,,0.4,0.5,True,633,61,60,41,41,41
0.9,-2.5,,0.4,0.6,False,633,61,60,60,60,60
0.9,-2.5,,0.4,0.6,True,633,61,60,41,41,41
0.9,-2.5,,0.4,0.7,False,633,61,60,60,60,60
0.9,-2.5,,0.4,0.7,True,633,61,60,41,41,41
0.9,-2.0,,,,False,633,61,60,60,60,60
0.9,-2.0,,,,True,633,61,60,41,41,41
0.9,-2.0,,,0.5,False,633,61,60,60,60,60
0.9,-2.0,,,0.5,True,633,61,60,41,41,41
0.9,-2.0,,,0.6,False,633,61,60,60,60,60
0.9,-2.0,,,0.6,True,633,61,60,41,41,41
0.9,-2.0,,,0.7,False,633,61,60,60,60,60
0.9,-2.0,,,0.7,True,633,61,60,41,41,41
0.9,-2.0,,0.2,,False,633,61,60,60,60,60
0.9,-2.0,,0.2,,True,633,61,60,41,41,41
0.9,-2.0,,0.2,0.5,False,633,61,60,60,60,60
0.9,-2.0,,0.2,0.5,True,633,61,60,41,41,41
0.9,-2.0,,0.2,0.6,False,633,61,60,60,60,60
0.9,-2.0,,0.2,0.6,True,633,61,60,41,41,41
0.9,-2.0,,0.2,0.7,False,633,61,60,60,60,60
0.9,-2.0,,0.2,0.7,True,633,61,60,41,41,41
0.9,-2.0,,0.3,,False,633,61,60,60,60,60
0.9,-2.0,,0.3,,True,633,61,60,41,41,41
0.9,-2.0,,0.3,0.5,False,633,61,60,60,60,60
0.9,-2.0,,0.3,0.5,True,633,61,60,41,41,41
0.9,-2.0,,0.3,0.6,False,633,61,60,60,60,60
0.9,-2.0,,0.3,0.6,True,633,61,60,41,41,41
0.9,-2.0,,0.3,0.7,False,633,61,60,60,60,60
0.9,-2.0,,0.3,0.7,True,633,61,60,41,41,41
0.9,-2.0,,0.4,,False,633,61,60,60,60,60
0.9,-2.0,,0.4,,True,633,61,60,41,41,41
0.9,-2.0,,0.4,0.5,False,633,61,60,60,60,60
0.9,-2.0,,0.4,0.5,True,633,61,60,41,41,41
0.9,-2.0,,0.4,0.6,False,633,61,60,60,60,60
0.9,-2.0,,0.4,0.6,True,633,61,60,41,41,41
0.9,-2.0,,0.4,0.7,False,633,61,60,60,60,60
0.9,-2.0,,0.4,0.7,True,633,61,60,41,41,41
0.9,-1.5,,,,False,633,61,60,60,60,60
0.9,-1.5,,,,True,633,61,60,41,41,41
0.9,-1.5,,,0.5,False,633,61,60,60,60,60
0.9,-1.5,,,0.5,True,633,61,60,41,41,41
0.9,-1.5,,,0.6,False,633,61,60,60,60,60
0.9,-1.5,,,0.6,True,633,61,60,41,41,41
0.9,-1.5,,,0.7,False,633,61,60,60,60,60
0.9,-1.5,,,0.7,True,633,61,60,41,41,41
0.9,-1.5,,0.2,,False,633,61,60,60,60,60
0.9,-1.5,,0.2,,True,633,61,60,41,41,41
0.9,-1.5,,0.2,0.5,False,633,61,60,60,60,60
0.9,-1.5,,0.2,0.5,True,633,61,60,41,41,41
0.9,-1.5,,0.2,0.6,False,633,61,60,60,60,60
0.9,-1.5,,0.2,0.6,True,633,61,60,41,41,41
0.9,-1.5,,0.2,0.7,False,633,61,60,60,60,60
0.9,-1.5,,0.2,0.7,True,633,61,60,41,41,41
0.9,-1.5,,0.3,,False,633,61,60,60,60,60
0.9,-1.5,,0.3,,True,633,61,60,41,41,41
0.9,-1.5,,0.3,0.5,False,633,61,60,60,60,60
0.9,-1.5,,0.3,0.5,True,633,61,60,41,41,41
0.9,-1.5,,0.3,0.6,False,633,61,60,60,60,60
0.9,-1.5,,0.3,0.6,True,633,61,60,41,41,41
0.9,-1.5,,0.3,0.7,False,633,61,60,60,60,60
0.9,-1.5,,0.3,0.7,True,633,61,60,41,41,41
0.9,-1.5,,0.4,,False,633,61,60,60,60,60
0.9,-1.5,,0.4,,True,633,61,60,41,41,41
0.9,-1.5,,0.4,0.5,False,633,61,60,60,60,60
0.9,-1.5,,0.4,0.5,True,633,61,60,41,41,41
0.9,-1.5,,0.4,0.6,False,633,61,60,60,60,60
0.9,-1.5,,0.4,0.6,True,633,61,60,41,41,41
0.9,-1.5,,0.4,0.7,False,633,61,60,60,60,60
0.9,-1.5,,0.4,0.7,True,633,61,60,41,41,41
0.9,-1.0,,,,False,633,61,56,56,56,56
0.9,-1.0,,,,True,633,61,56,37,37,37
0.9,-1.0,,,0.5,False,633,61,56,56,56,56
0.9,-1.0,,,0.5,True,633,61,56,37,37,37
0.9,-1.0,,,0.6,False,633,61,56,56,56,56
0.9,-1.0,,,0.6,True,633,61,56,37,37,37
0.9,-1.0,,,0.7,False,633,61,56,56,56,56
0.9,-1.0,,,0.7,True,633,61,56,37,37,37
0.9,-1.0,,0.2,,False,633,61,56,56,56,56
0.9,-1.0,,0.2,,True,633,61,56,37,37,37
0.9,-1.0,,0.2,0.5,False,633,61,56,56,56,56
0.9,-1.0,,0.2,0.5,True,633,61,56,37,37,37
0.9,-1.0,,0.2,0.6,False,633,61,56,56,56,56
0.9,-1.0,,0.2,0.6,True,633,61,56,37,37,37
0.9,-1.0,,0.2,0.7,False,633,61,56,56,56,56
0.9,-1.0,,0.2,0.7,True,633,61,56,37,37,37
0.9,-1.0,,0.3,,False,633,61,56,56,56,56
0.9,-1.0,,0.3,,True,633,61,56,37,37,37
0.9,-1.0,,0.3,0.5,False,633,61,56,56,56,56
0.9,-1.0,,0.3,0.5,True,633,61,56,37,37,37
0.9,-1.0,,0.3,0.6,False,633,61,56,56,56,56
0.9,-1.0,,0.3,0.6,True,633,61,56,37,37,37
0.9,-1.0,,0.3,0.7,False,633,61,56,56,56,56
0.9,-1.0,,0.3,0.7,True,633,61,56,37,37,37
0.9,-1.0,,0.4,,False,633,61,56,56,56,56
0.9,-1.0,,0.4,,True,633,61,56,37,37,37
0.9,-1.0,,0.4,0.5,False,633,61,56,56,56,56
0.9,-1.0,,0.4,0.5,True,633,61,56,37,37,37
0.9,-1.0,,0.4,0.6,False,633,61,56,56,56,56
0.9,-1.0,,0.4,0.6,True,633,61,56,37,37,37
0.9,-1.0,,0.4,0.7,False,633,61,56,56,56,56
0.9,-1.0,,0.4,0.7,True,633,61,56,37,37,37
0.95,,,,,False,633,36,36,36,36,36
0.95,,,,,True,633,36,36,24,24,24
0.95,,,,0.5,False,633,36,36,36,36,36
0.95,,,,0.5,True,633,36,36,24,24,24
0.95,,,,0.6,False,633,36,36,36,36,36
0.95,,,,0.6,True,633,36,36,24,24,24
0.95,,,,0.7,False,633,36,36,36,36,36
0.95,,,,0.7,True,633,36,36,24,24,24
0.95,,,0.2,,False,633,36,36,36,36,36
0.95,,,0.2,,True,633,36,36,24,24,24
0.95,,,0.2,0.5,False,633,36,36,36,36,36
0.95,,,0.2,0.5,True,633,36,36,24,24,24
0.95,,,0.2,0.6,False,633,36,36,36,36,36
