ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown,suspicious_abs_avg_r,suspicious_pf,suspicious_low_trades,valid,scan_id
0.0001,0.8,45,545,41.284403669724774,-0.1883962755399038,0.864697122984402,120.29841050952975,False,False,False,True,32a72961
0.0001,0.8,50,501,41.11776447105788,-0.17779747477994565,0.8735757264737192,109.09881709867695,False,False,False,True,32a72961
0.0001,0.8,55,428,40.18691588785047,-0.14945471466575808,0.8942179112567676,107.855394711528,False,False,False,True,32a72961
0.0001,0.8,60,337,41.246290801186944,-0.19011870965108738,0.8636582249296875,90.5701448045063,False,False,False,True,32a72961
0.0001,1.0,45,545,41.284403669724774,-0.1883962755399038,0.864697122984402,120.29841050952975,False,False,False,True,32a72961
0.0001,1.0,50,501,41.11776447105788,-0.17779747477994565,0.8735757264737192,109.09881709867695,False,False,False,True,32a72961
0.0001,1.0,55,428,40.18691588785047,-0.14945471466575808,0.8942179112567676,107.855394711528,False,False,False,True,32a72961
0.0001,1.0,60,337,41.246290801186944,-0.19011870965108738,0.8636582249296875,90.5701448045063,False,False,False,True,32a72961
0.0001,1.2,45,545,41.284403669724774,-0.1883962755399038,0.864697122984402,120.29841050952975,False,False,False,True,32a72961
0.0001,1.2,50,501,41.11776447105788,-0.17779747477994565,0.8735757264737192,109.09881709867695,False,False,False,True,32a72961
0.0001,1.2,55,428,40.18691588785047,-0.14945471466575808,0.8942179112567676,107.855394711528,False,False,False,True,32a72961
0.0001,1.2,60,337,41.246290801186944,-0.19011870965108738,0.8636582249296875,90.5701448045063,False,False,False,True,32a72961
0.0001,1.4,45,370,41.351351351351354,-0.09053644457328912,0.9353932819743156,79.71945839563386,False,False,False,True,32a72961
0.0001,1.4,50,343,41.10787172011662,-0.08054756471865154,0.9431647966673075,73.66721536125384,False,False,False,True,32a72961
0.0001,1.4,55,300,41.0,-0.04602468457685436,0.9668189420061125,67.88097950515666,False,False,False,True,32a72961
0.0001,1.4,60,238,42.016806722689076,-0.05852452755556104,0.9574431909978642,53.52427771796195,False,False,False,True,32a72961
0.0002,0.8,45,489,43.149284253578735,-0.1309671258848649,0.9053947433786943,103.61635309727131,False,False,False,True,32a72961
0.0002,0.8,50,451,42.793791574279375,-0.12496349944232249,0.9111167589079013,98.27577199969787,False,False,False,True,32a72961
0.0002,0.8,55,384,41.66666666666667,-0.09795394302548462,0.9308183252306123,95.64621674327142,False,False,False,True,32a72961
0.0002,0.8,60,310,41.935483870967744,-0.16708376530743796,0.8799384989442617,87.42452210028168,False,False,False,True,32a72961
0.0002,1.0,45,489,43.149284253578735,-0.1309671258848649,0.9053947433786943,103.61635309727131,False,False,False,True,32a72961
0.0002,1.0,50,451,42.793791574279375,-0.12496349944232249,0.9111167589079013,98.27577199969787,False,False,False,True,32a72961
0.0002,1.0,55,384,41.66666666666667,-0.09795394302548462,0.9308183252306123,95.64621674327142,False,False,False,True,32a72961
0.0002,1.0,60,310,41.935483870967744,-0.16708376530743796,0.8799384989442617,87.42452210028168,False,False,False,True,32a72961
0.0002,1.2,45,489,43.149284253578735,-0.1309671258848649,0.9053947433786943,103.61635309727131,False,False,False,True,32a72961
0.0002,1.2,50,451,42.793791574279375,-0.12496349944232249,0.9111167589079013,98.27577199969787,False,False,False,True,32a72961
0.0002,1.2,55,384,41.66666666666667,-0.09795394302548462,0.9308183252306123,95.64621674327142,False,False,False,True,32a72961
0.0002,1.2,60,310,41.935483870967744,-0.16708376530743796,0.8799384989442617,87.42452210028168,False,False,False,True,32a72961
0.0002,1.4,45,330,43.93939393939394,-0.011970282625047315,0.9914490628082251,72.34667095723057,False,False,False,True,32a72961
0.0002,1.4,50,306,43.4640522875817,-0.01232683333611355,0.9913338542608432,66.94203473300153,False,False,False,True,32a72961
0.0002,1.4,55,268,42.91044776119403,0.002001781881886571,1.001431410936516,62.881225840955906,False,False,False,True,32a72961
0.0002,1.4,60,217,42.857142857142854,-0.04920819233818523,0.9645905284168195,55.88355749810536,False,False,False,True,32a72961
0.0003,0.8,45,404,43.06930693069307,-0.13609366479015783,0.9008374807921512,88.01909618176322,False,False,False,True,32a72961
0.0003,0.8,50,375,42.4,-0.14486113503183756,0.8961219556691143,86.55830997987673,False,False,False,True,32a72961
0.0003,0.8,55,326,42.63803680981595,-0.01178219008221578,0.9913019547750361,78.91976104498463,False,False,False,True,32a72961
0.0003,0.8,60,263,42.585551330798474,-0.1150419845946763,0.914192411403737,78.19307818262367,False,False,False,True,32a72961
0.0003,1.0,45,404,43.06930693069307,-0.13609366479015783,0.9008374807921512,88.01909618176322,False,False,False,True,32a72961
0.0003,1.0,50,375,42.4,-0.14486113503183756,0.8961219556691143,86.55830997987673,False,False,False,True,32a72961
0.0003,1.0,55,326,42.63803680981595,-0.01178219008221578,0.9913019547750361,78.91976104498463,False,False,False,True,32a72961
0.0003,1.0,60,263,42.585551330798474,-0.1150419845946763,0.914192411403737,78.19307818262367,False,False,False,True,32a72961
0.0003,1.2,45,404,43.06930693069307,-0.13609366479015783,0.9008374807921512,88.01909618176322,False,False,False,True,32a72961
0.0003,1.2,50,375,42.4,-0.14486113503183756,0.8961219556691143,86.55830997987673,False,False,False,True,32a72961
0.0003,1.2,55,326,42.63803680981595,-0.01178219008221578,0.9913019547750361,78.91976104498463,False,False,False,True,32a72961
0.0003,1.2,60,263,42.585551330798474,-0.1150419845946763,0.914192411403737,78.19307818262367,False,False,False,True,32a72961
0.0003,1.4,45,283,43.81625441696113,-0.0582820792528167,0.9585172393127901,51.87510717641522,False,False,False,True,32a72961
0.0003,1.4,50,265,42.64150943396226,-0.088844467445518,0.9379451345561943,57.86059004727667,False,False,False,True,32a72961
0.0003,1.4,55,236,43.22033898305085,0.042700233349611226,1.0312055692016442,52.99322141237387,False,False,False,True,32a72961
0.0003,1.4,60,190,43.15789473684211,-0.019103399805343105,0.985768446684124,60.208876136755144,False,False,False,True,32a72961
0.0004,0.8,45,307,42.671009771986974,-0.22814357504199978,0.8275438084424409,82.90328893587458,False,False,False,True,32a72961
0.0004,0.8,50,291,42.2680412371134,-0.22666382652761388,0.830494766099315,82.81076401143106,False,False,False,True,32a72961
0.0004,0.8,55,259,42.471042471042466,-0.17259118584075958,0.8715634373148432,68.77237298742564,False,False,False,True,32a72961
0.0004,0.8,60,212,42.45283018867924,-0.24463895834439067,0.817772420664049,57.99509192428165,False,False,False,True,32a72961
0.0004,1.0,45,307,42.671009771986974,-0.22814357504199978,0.8275438084424409,82.90328893587458,False,False,False,True,32a72961
0.0004,1.0,50,291,42.2680412371134,-0.22666382652761388,0.830494766099315,82.81076401143106,False,False,False,True,32a72961
0.0004,1.0,55,259,42.471042471042466,-0.17259118584075958,0.8715634373148432,68.77237298742564,False,False,False,True,32a72961
0.0004,1.0,60,212,42.45283018867924,-0.24463895834439067,0.817772420664049,57.99509192428165,False,False,False,True,32a72961
0.0004,1.2,45,307,42.671009771986974,-0.22814357504199978,0.8275438084424409,82.90328893587458,False,False,False,True,32a72961
0.0004,1.2,50,291,42.2680412371134,-0.22666382652761388,0.830494766099315,82.81076401143106,False,False,False,True,32a72961
0.0004,1.2,55,259,42.471042471042466,-0.17259118584075958,0.8715634373148432,68.77237298742564,False,False,False,True,32a72961
0.0004,1.2,60,212,42.45283018867924,-0.24463895834439067,0.817772420664049,57.99509192428165,False,False,False,True,32a72961
0.0004,1.4,45,223,43.946188340807176,-0.11131163385410812,0.9166542432949083,55.16783365551713,False,False,False,True,32a72961
0.0004,1.4,50,214,42.99065420560748,-0.12883117044315537,0.9049740516999123,59.22127145713645,False,False,False,True,32a72961
