ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown
0.0001,0.8,45,204,42.15686274509804,-0.42198367131341197,0.720824612690566,88.56477816715821
0.0001,0.8,50,182,40.65934065934066,-0.49832221110962277,0.6826474600189147,93.17475164117353
0.0001,0.8,55,164,39.63414634146341,-0.6135687861745863,0.61533745004904,103.10539015185432
0.0001,0.8,60,133,41.35338345864661,-0.6178898543915622,0.605447228809483,81.08623373461879
0.0001,1.0,45,204,42.15686274509804,-0.42198367131341197,0.720824612690566,88.56477816715821
0.0001,1.0,50,182,40.65934065934066,-0.49832221110962277,0.6826474600189147,93.17475164117353
0.0001,1.0,55,164,39.63414634146341,-0.6135687861745863,0.61533745004904,103.10539015185432
0.0001,1.0,60,133,41.35338345864661,-0.6178898543915622,0.605447228809483,81.08623373461879
0.0001,1.2,45,204,42.15686274509804,-0.42198367131341197,0.720824612690566,88.56477816715821
0.0001,1.2,50,182,40.65934065934066,-0.49832221110962277,0.6826474600189147,93.17475164117353
0.0001,1.2,55,164,39.63414634146341,-0.6135687861745863,0.61533745004904,103.10539015185432
0.0001,1.2,60,133,41.35338345864661,-0.6178898543915622,0.605447228809483,81.08623373461879
0.0001,1.4,45,137,43.06569343065693,-0.21914159232839986,0.8494039730704682,38.880336676038596
0.0001,1.4,50,126,42.06349206349206,-0.279190021237205,0.8157801947470645,41.74125077951486
0.0001,1.4,55,114,41.228070175438596,-0.4425814582048428,0.7135373499813973,53.957508650535786
0.0001,1.4,60,89,42.69662921348314,-0.4926703107448327,0.6808662926980465,50.313190706505125
0.0002,0.8,45,181,44.751381215469614,-0.3518452369826783,0.7601132260349615,66.75170554978513
0.0002,0.8,50,162,43.20987654320987,-0.436557742545358,0.7180369608124786,73.20246351157019
0.0002,0.8,55,147,41.49659863945578,-0.6088653838543806,0.619911761947706,91.98332064581612
0.0002,0.8,60,122,41.80327868852459,-0.6628422934739833,0.5787766808136734,79.77364290436697
0.0002,1.0,45,181,44.751381215469614,-0.3518452369826783,0.7601132260349615,66.75170554978513
0.0002,1.0,50,162,43.20987654320987,-0.436557742545358,0.7180369608124786,73.20246351157019
0.0002,1.0,55,147,41.49659863945578,-0.6088653838543806,0.619911761947706,91.98332064581612
0.0002,1.0,60,122,41.80327868852459,-0.6628422934739833,0.5787766808136734,79.77364290436697
0.0002,1.2,45,181,44.751381215469614,-0.3518452369826783,0.7601132260349615,66.75170554978513
0.0002,1.2,50,162,43.20987654320987,-0.436557742545358,0.7180369608124786,73.20246351157019
0.0002,1.2,55,147,41.49659863945578,-0.6088653838543806,0.619911761947706,91.98332064581612
0.0002,1.2,60,122,41.80327868852459,-0.6628422934739833,0.5787766808136734,79.77364290436697
0.0002,1.4,45,121,47.107438016528924,-0.10018535778952296,0.9287817972092063,42.882963375976814
0.0002,1.4,50,111,45.94594594594595,-0.18642027113671242,0.8747639393528093,44.152785743744914
0.0002,1.4,55,102,44.11764705882353,-0.4394040419529851,0.7185636863361478,47.299321498426664
0.0002,1.4,60,83,43.373493975903614,-0.5785790647702278,0.6315303111848487,46.92894547646989
0.0003,0.8,45,152,44.07894736842105,-0.4198825469106609,0.7130730459372482,67.39537324910164
0.0003,0.8,50,139,42.44604316546763,-0.5265033195254399,0.6587202178172992,76.75718753271735
0.0003,0.8,55,130,42.30769230769231,-0.5367468968347062,0.6540011852884551,73.35032270719303
0.0003,0.8,60,108,41.66666666666667,-0.6504209781941407,0.5800576332949883,53.865451281577606
0.0003,1.0,45,152,44.07894736842105,-0.4198825469106609,0.7130730459372482,67.39537324910164
