ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown,scan_id
0.0002,0.8,40,6959,42.79350481391005,-0.03185504245735049,0.9742017562901283,599.2583346157071,3acf6689
0.0002,0.8,45,6775,42.8339483394834,-0.027566642240525695,0.9776081638737003,561.6601296761168,3acf6689
0.0002,0.8,50,6316,42.5110829639012,-0.037653483451388456,0.9694707780466962,564.1351334045742,3acf6689
0.0002,0.8,55,5493,41.79865283087566,-0.0652106593371294,0.9475448110463648,610.667165876874,3acf6689
0.0002,0.8,60,4347,41.246836899010816,-0.09493075686215133,0.9241933922856158,564.0262105669285,3acf6689
0.0002,1.0,40,6959,42.79350481391005,-0.03185504245735049,0.9742017562901283,599.2583346157071,3acf6689
0.0002,1.0,45,6775,42.8339483394834,-0.027566642240525695,0.9776081638737003,561.6601296761168,3acf6689
0.0002,1.0,50,6316,42.5110829639012,-0.037653483451388456,0.9694707780466962,564.1351334045742,3acf6689
0.0002,1.0,55,5493,41.79865283087566,-0.0652106593371294,0.9475448110463648,610.667165876874,3acf6689
0.0002,1.0,60,4347,41.246836899010816,-0.09493075686215133,0.9241933922856158,564.0262105669285,3acf6689
0.0002,1.2,40,6959,42.79350481391005,-0.03185504245735049,0.9742017562901283,599.2583346157071,3acf6689
0.0002,1.2,45,6775,42.8339483394834,-0.027566642240525695,0.9776081638737003,561.6601296761168,3acf6689
0.0002,1.2,50,6316,42.5110829639012,-0.037653483451388456,0.9694707780466962,564.1351334045742,3acf6689
0.0002,1.2,55,5493,41.79865283087566,-0.0652106593371294,0.9475448110463648,610.667165876874,3acf6689
0.0002,1.2,60,4347,41.246836899010816,-0.09493075686215133,0.9241933922856158,564.0262105669285,3acf6689
0.0002,1.4,40,5518,41.554911199710034,-0.09900977611254738,0.9241475998461176,794.9229766152732,3acf6689
0.0002,1.4,45,5385,41.59702878365831,-0.09833201176625382,0.9245162542878798,766.1691248271229,3acf6689
0.0002,1.4,50,5047,41.35129780067367,-0.10558965180386423,0.9187679499246728,751.8930252889386,3acf6689
0.0002,1.4,55,4447,40.814031931639306,-0.1242723939756223,0.9046259444977053,745.3890331767747,3acf6689
0.0002,1.4,60,3553,40.27582324795947,-0.15493572620282453,0.882168630053062,665.3224615805592,3acf6689
0.0002,1.6,40,4469,41.6871783396733,-0.1086053996912927,0.9180535190010494,657.0734811306443,3acf6689
