ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown,suspicious_abs_avg_r,suspicious_pf,suspicious_low_trades,valid,scan_id
0.0001,0.8,45,12476,43.066688041038795,-0.046477903589052745,0.9615764371516821,753.1477178828665,False,False,False,True,ea708839
0.0001,0.8,50,11573,42.88429966300873,-0.05209929481756811,0.9568736015260286,775.8466233841125,False,False,False,True,ea708839
0.0001,0.8,55,9908,42.27896649172386,-0.0718075772490812,0.9405750843626318,814.2966130528421,False,False,False,True,ea708839
0.0001,0.8,60,7748,42.26897263810015,-0.07797365835958645,0.934669453658432,685.3205799397853,False,False,False,True,ea708839
0.0001,1.0,45,12476,43.066688041038795,-0.046477903589052745,0.9615764371516821,753.1477178828665,False,False,False,True,ea708839
0.0001,1.0,50,11573,42.88429966300873,-0.05209929481756811,0.9568736015260286,775.8466233841125,False,False,False,True,ea708839
0.0001,1.0,55,9908,42.27896649172386,-0.0718075772490812,0.9405750843626318,814.2966130528421,False,False,False,True,ea708839
0.0001,1.0,60,7748,42.26897263810015,-0.07797365835958645,0.934669453658432,685.3205799397853,False,False,False,True,ea708839
0.0001,1.2,45,12476,43.066688041038795,-0.046477903589052745,0.9615764371516821,753.1477178828665,False,False,False,True,ea708839
0.0001,1.2,50,11573,42.88429966300873,-0.05209929481756811,0.9568736015260286,775.8466233841125,False,False,False,True,ea708839
0.0001,1.2,55,9908,42.27896649172386,-0.0718075772490812,0.9405750843626318,814.2966130528421,False,False,False,True,ea708839
0.0001,1.2,60,7748,42.26897263810015,-0.07797365835958645,0.934669453658432,685.3205799397853,False,False,False,True,ea708839
0.0001,1.4,45,9730,41.952723535457345,-0.09573255574047117,0.9240209730168728,1052.2882692291923,False,False,False,True,ea708839
0.0001,1.4,50,9063,41.76321306410681,-0.10197465179032776,0.918819767539784,1060.1999531363779,False,False,False,True,ea708839
0.0001,1.4,55,7843,41.246971822006884,-0.11809164012044272,0.9058439921858823,1020.6235760618295,False,False,False,True,ea708839
0.0001,1.4,60,6184,41.106080206985766,-0.13314107790875868,0.8933358246798538,899.4253252845884,False,False,False,True,ea708839
0.0002,0.8,45,10690,43.049579045837234,-0.04390751996587529,0.9629853974967766,561.6601296761168,False,False,False,True,ea708839
0.0002,0.8,50,9980,42.83567134268537,-0.04890385416020054,0.9588012455678437,574.1794327485401,False,False,False,True,ea708839
0.0002,0.8,55,8692,42.211228716060745,-0.07446818380193673,0.9375943686810986,705.9853152024943,False,False,False,True,ea708839
0.0002,0.8,60,6917,42.02689027034842,-0.08049324441340437,0.9319201488606815,567.5389263649425,False,False,False,True,ea708839
0.0002,1.0,45,10690,43.049579045837234,-0.04390751996587529,0.9629853974967766,561.6601296761168,False,False,False,True,ea708839
